id,pos_comm,neg_comm,neutral_comm,total_comments
KI5G6pvhoOA,163,102,1236,1501
oOf-44xhbnU,1374,1068,1376,3818
4U_l8WoaWks,1176,535,1513,3224
210ZoXTl_e4,509,342,668,1519
wUQyHA-JHTE,2014,1256,1671,4941
UdxmtfU-qvII,0,0,1,1
P3h45znNqCQ,2954,1268,3248,7470
twGnn8niQYE,616,410,972,1998
Lvwk5doliwU,624,275,856,1755
NA4uIFbVCPM,245,32,311,588
nIFkpvx2vH4,622,299,675,1596
dsms3bUqIlw,138,74,155,367
2fhcIBQnpeM,535,158,876,1569
1W_2IV6t9cU,186,75,286,547
KXKvKJw6Zb4,618,346,511,1475
w8I1m1n-7Lg,1234,686,2870,4790
SKlxC8OBT8w,426,212,899,1537
5bVNg54-AaA,91,43,130,264
9qRNtYDIvf8,897,652,1714,3263
fPS1ExdBi8k,40,6,111,157
7t1iFscpIcU,257,64,365,686
MCBXKITOGo4,478,301,755,1534
_AWeU618aZc,654,328,744,1726
m_wg9l3iF8o,176,94,158,428
5Jtvv7vQxIA,4822,2306,6038,13166
727BL_s1-Kg,1233,247,2848,4328
B8VtylRtHEU,215,140,274,629
NFDTcARfm80,1154,387,702,2243
ahZD95l1MvM,5608,2494,14167,22269
Te-Ktb4w8pE,946,102,1233,2281
sLCdX3dafXI,149,148,209,506
oFoZG2n3_ME,35,19,48,102
h8uXR09CgXs,320,223,339,882
HBoXPQWCAzI,64,8,50,122
thR_9Aqvrgc,33,13,165,211
lNQ6Zb59HgQ,488,73,1150,1711
U_ddMOaML8Y,3701,7480,14276,25457
zRvpzJNOeJQ,18,13,16,47
SD5Sg4N_mks,932,606,1246,2784
DEobiCzGEvE,1642,443,3472,5557
jRP4G7FY9ds,219,34,465,718
MrdOcnW4B2M,1189,594,1267,3050
#NAME?,557,116,394,1067
nGdRCTkc4a8,1957,565,3387,5909
N8QsLwba0Ls,80,19,150,249
_z_eXrG0qUs,24,3,42,69
jDdKtWnFXFo,3440,1006,3679,8125
e2fLGw4JJm0,43,6,75,124
u13WrWCS3eo,503,478,1502,2483
aYOg8EON29Y,3643,889,2396,6928
vFKwhbBVt78,52,28,80,160
UotIK0wDhUg,381,205,369,955
PJC-oRDwwY8,5242,1229,8455,14926
YYwuglbtLP4,0,0,1,1
famJvTQ_W28,615,260,1036,1911
4Ur_yxQA49I,341,266,584,1191
O4N09f926o4,95,25,125,245
xx4pTVSEv7Y,22,10,9,41
S3ksC_8jGuc,3062,2596,4130,9788
wC9i8w2cHwM,2637,277,3769,6683
2eSjo1ZaABM,103,47,25,175
N016NLZX9V4,832,434,2716,3982
IvHAlAEn5vs,2658,1090,2348,6096
3qCfTBgalFE,783,420,665,1868
xSsiS304iY8,1413,900,4796,7109
o6NRHkaU3w0,1419,776,1473,3668
D0i23wZ0IeE,8919,1874,14305,25098
utyMY5vnICg,646,548,323,1517
393C3pr2ioY,2968,562,3883,7413
rLycYSY2V6Y,1002,444,2594,4040
MZXohpDPlsY,285,366,535,1186
JVPWho8WHvg,1225,184,16128,17537
RFVj97MoSAM,1330,1001,4507,6838
2TcRpkWDoOk,805,627,1372,2804
6SYT0upjNac,1994,530,1426,3950
hAlNfS6FIzU,713,370,767,1850
JlMSABAtsAE,837,280,1247,2364
Sye5R6NMN08,0,0,1,1
dN0T9ur_tTQ,494,489,1208,2191
UNe6mqJqA3g,67,35,50,152
Atii8FGebiQ,2021,1289,2719,6029
5DUpXpg8W9I,45,17,49,111
iBIV1x2U_Ew,862,180,2138,3180
OqTkK9s7a7c,29,3,16,48
nnSdjyT1Eqg,858,378,1165,2401
W-j0kFE82jk,5012,3920,8345,17277
BmXtp4r6Suo,2620,1286,9595,13501
wKBMpneOhd8,1533,710,2096,4339
mfokPqeSNcw,2806,676,2875,6357
7SeQrn2a3cA,2133,1754,2989,6876
QjO7qSTJKOo,46,6,105,157
VhTs-yvx7TE,1579,610,2332,4521
fmQMFhH28fk,381,164,672,1217
